timestamp,x_coord,y_coord,speed_knots,heading_deg,depth_m,signal_strength
2025-09-16T19:13:02Z,-2.28,1.48,12.91,45,186.08,99
2025-09-16T19:14:02Z,4.16,-2.21,11.70,45,219.38,89
2025-09-16T19:15:02Z,5.18,-3.09,10.56,45,289.99,87
2025-09-16T19:16:02Z,3.04,2.45,10.89,45,107.05,80
2025-09-16T19:17:02Z,-0.10,0.36,18.43,45,138.41,92
2025-09-16T19:18:02Z,2.50,2.50,15.66,45,109.42,87
2025-09-16T19:19:02Z,3.00,3.00,12.22,45,292.73,86
2025-09-16T19:20:02Z,3.50,3.50,10.62,45,193.16,81
2025-09-16T19:21:02Z,4.00,4.00,11.59,45,131.99,83
2025-09-16T19:22:02Z,4.50,4.50,16.29,45,152.48,91
2025-09-16T19:23:02Z,5.10,7.89,10.88,45,122.84,87
2025-09-16T19:24:02Z,10.05,8.03,18.51,45,121.28,83
2025-09-16T19:25:02Z,1.55,1.10,14.18,45,240.46,82
2025-09-16T19:26:02Z,11.00,9.19,10.44,45,276.19,98
2025-09-16T19:27:02Z,10.10,9.92,15.53,45,131.72,82
2025-09-16T19:28:02Z,7.50,7.50,12.05,45,282.41,99
2025-09-16T19:29:02Z,8.00,8.00,13.46,45,262.81,92
2025-09-16T19:30:02Z,8.50,8.50,11.50,45,103.94,88
2025-09-16T19:31:02Z,9.00,9.00,16.60,45,218.42,87
2025-09-16T19:32:02Z,9.50,9.50,15.52,45,154.50,93
2025-09-16T19:33:02Z,11.20,10.99,17.89,45,289.02,84
2025-09-16T19:34:02Z,6.13,8.28,11.88,45,180.90,100
2025-09-16T19:35:02Z,6.74,10.92,19.88,45,206.13,100
2025-09-16T19:36:02Z,6.56,10.43,12.89,45,155.32,92
2025-09-16T19:37:02Z,9.49,11.26,12.86,45,123.44,81
2025-09-16T19:38:02Z,12.50,12.50,12.63,45,230.74,87
2025-09-16T19:39:02Z,13.00,13.00,13.79,45,218.26,86
2025-09-16T19:40:02Z,13.50,13.50,12.85,45,231.84,86
2025-09-16T19:41:02Z,14.00,14.00,13.65,45,105.17,89
2025-09-16T19:42:02Z,14.50,14.50,12.58,45,243.38,90
2025-09-16T19:43:02Z,15.59,11.14,11.59,45,267.49,85
2025-09-16T19:44:02Z,19.07,10.58,18.37,45,229.69,87
2025-09-16T19:45:02Z,13.21,13.61,16.03,45,154.68,90
2025-09-16T19:46:02Z,18.57,18.76,13.24,45,145.70,99
2025-09-16T19:47:02Z,15.24,17.73,12.79,45,241.66,94
2025-09-16T19:48:02Z,17.50,17.50,14.62,45,150.21,80
2025-09-16T19:49:02Z,18.00,18.00,11.00,45,283.22,80
2025-09-16T19:50:02Z,18.50,18.50,17.69,45,241.53,84
2025-09-16T19:51:02Z,19.00,19.00,13.07,45,112.73,97
2025-09-16T19:52:02Z,19.50,19.50,14.05,45,149.25,93
2025-09-16T19:53:02Z,16.07,16.79,16.17,45,216.68,86
2025-09-16T19:54:02Z,19.04,19.10,13.97,45,171.11,84
2025-09-16T19:55:02Z,16.38,16.32,19.07,45,157.31,93
2025-09-16T19:56:02Z,22.11,20.19,13.87,45,154.03,90
2025-09-16T19:57:02Z,26.86,26.10,12.71,45,142.74,92
